District,Sub-county,Male,Female,Total,Sex Ratio*,Land Area (Sq. Km),Population Density**
Abim,Abim,6156,6478,12634,101,183.9,69
Abim,Abim Town Council,8429,8739,17168,99.8,110.7,155
Abim,Alerek,8390,9008,17398,103.3,1249.2,14
Abim,Lotukei,11176,11798,22974,101.5,190.4,121
Abim,Morulem,11062,11817,22879,98.6,274,84
Abim,Nyakwae,7243,7670,14913,102.6,343.5,43
Adjumani,Adjumani Town Council,17055,18378,35433,92.8,15.6,2271
Adjumani,Adropi,5839,5875,11714,99.4,78.1,150
Adjumani,Arinyapi,5754,5914,11668,97.3,184.9,63
Adjumani,Ciforo,7147,7324,14471,97.6,167.6,86
Adjumani,Dzaipi,20167,22721,42888,88.8,237.1,181
Adjumani,Itirikwa,8187,8908,17095,91.9,708,24
Adjumani,Ofua,6719,7308,14027,91.9,79.5,176
Adjumani,Pacara,8365,8805,17170,95,194.4,88
Adjumani,Pakele,23502,25966,49468,90.5,604,82
Adjumani,Ukusijoni,5563,5754,11317,96.7,685.4,17
Agago,Adilang,9896,10378,20274,95.4,390.4,51.9
Agago,Agago Town Council,2869,3162,6031,90.7,49.2,122.6
Agago,Arum,5779,5992,11771,96.4,198.8,59.2
Agago,Kalongo Town Council,5379,6215,11594,86.5,26.5,437.5
Agago,Kotomol,6076,6468,12544,93.9,160.7,78.1
Agago,Lamiyo,4082,4402,8484,92.7,138.9,61.1
Agago,Lapono,10719,11341,22060,94.5,465,47.4
Agago,Lira Palwo,7844,8466,16310,92.7,239.8,68
Agago,Lokole,7520,8021,15541,93.8,293.8,52.9
Agago,Omiya Pacwa,5600,5963,11563,93.9,320.7,36.1
Agago,Omot,6511,6888,13399,94.5,139.8,95.8
Agago,Paimol,10390,10629,21019,97.8,316.3,66.5
Agago,Parabongo,5534,5860,11394,94.4,192.7,59.1
Agago,Patongo,5352,5640,10992,94.9,108.4,101.4
Agago,Patongo Town Council,5603,5925,11528,94.6,30.8,374.3
Agago,Wol,11341,11947,23288,94.9,428.4,54.4
Alebtong,Abako,11834,12495,24329,94.7,113.5,214
Alebtong,Abia,11338,12098,23436,93.7,170.9,137
Alebtong,Akura,11368,11850,23218,95.9,145.5,160
Alebtong,Alebtong Town Council,3283,3419,6702,96,30.9,217
Alebtong,Aloi,14999,15710,30709,95.5,181.9,169
Alebtong,Amugu,13478,14230,27708,94.7,139.6,199
Alebtong,Apala,9513,10108,19621,94.1,107.7,182
Alebtong,Awei,13911,14678,28589,94.8,161.2,177
